Rowid,Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,Transaction ID,Fraud Flag or Label,Transaction Source,IP Address,Device Information
1,2022-09-24 13:54:27,285.88,Shray Soman,daca51bffe0fc4eaaa7c430917f94b75fd8937124922549632bcd15afd89dc00,"Rajagopalan, Ghose and Kant",Khammam,INR,MasterCard,04/29,b7f69cbc-a03d-41f8-adca-75920b0242c3,1,Online,18.106.240.6,Tablet
2,2020-07-24 11:20:13,1777.32,Lakshit Bakshi,d5366dd9be3a0266c0252baceaa6332210ed4dbd0ef252a4e2f45707c290f4b4,Sule PLC,Vasai-Virar,EUR,American Express,03/26,ad53cc8e-8412-422e-8cad-4176daac8387,1,Online,212.48.185.128,Mobile
3,2023-03-18 01:05:36,3939.01,Riya Bobal,4737a6384aa1c3c31f7768b86633d6a8401dd6ab4a8ff1f3c876a82830a98e57,Badal PLC,Nangloi Jat,USD,Visa,11/29,f09cecd6-0d74-4551-8089-a31d64e6b9c5,1,In-Person,17.190.112.46,Mobile
4,2021-01-07 21:53:04,376.44,Mohanlal Balakrishnan,4721806eed8f2663bb597ff13e79a294de318358fbb54bcd4d282ef617d1fc67,Konda-Sodhi,Ramagundam,USD,Visa,09/25,b208ae0b-4c4f-428f-b6b9-5360b288b947,0,In-Person,153.136.24.104,Tablet
5,2021-12-16 06:22:24,1687.33,Mannat Rout,9deacc3a9efd6e382826d400620aca5f23ed94327578e5cee370ce1278a99919,Dua Ltd,Adoni,INR,MasterCard,03/31,6b4e4e43-5b73-4906-9973-299a1b2a5e71,1,Online,196.153.28.131,Desktop
6,2020-01-14 21:03:12,3341.97,Lagan Dutt,15bbdcdc198266c9c17633ffb7bf59ef1d48ad76db226773291e5da19d47383d,Ramesh Inc,Farrukhabad,USD,American Express,05/27,92a7490d-89cc-43db-81a9-d152895813aa,1,In-Person,112.90.206.208,Mobile
7,2021-07-25 18:24:30,1212.14,Neelofar Sangha,661297314dafe0945aca76d1463f27d404f4e535323217444777ed74d0270ef6,"Sachar, Gera and Deol",Agartala,USD,MasterCard,02/30,6eab203f-abdc-442d-91c9-e4b4e64d2719,0,In-Person,218.154.139.160,Desktop
8,2022-05-08 10:49:06,1117.52,Samiha Ravi,b4f56d425e0ce79c2c27153c2daf9de1a73b1d3be5b6e78d075003f76e4ce89f,"Bhasin, Jain and Chada",Dehri,EUR,Visa,09/26,5849755c-2f70-4f9c-95cc-0092d79d43eb,0,Online,150.7.29.164,Mobile
9,2022-08-19 23:40:26,388.16,Vihaan Walla,bd9821d2d86a049aad49919da593e15344bc7604442d9e4a478500b525687ed2,Sha Inc,Gangtok,EUR,Visa,12/25,7f971cb1-6bd3-48f2-8fa5-2bef220ab4a4,0,In-Person,219.61.43.198,Desktop
10,2022-09-10 05:59:18,4514.53,Ivan Loyal,8d7967ba4a7d372708eca312d518026dd2d83d42e5f0be0e60ea4d033ab62236,"Sant, Chawla and Wali",Aizawl,USD,Visa,08/29,df575129-3416-4c59-b282-d57267515ce1,1,In-Person,39.33.247.78,Tablet
